epoch,acc,loss,val_acc,val_loss
0,0.30068000000953676,2.6946913353729247,0.2463,4.6642254501342775
1,0.41327999996185305,2.397060812835693,0.1985,6.650238776397705
2,0.4830600000190735,2.2100164639282225,0.2079,6.334387958526611
3,0.5390200000190735,2.0618787983703615,0.2311,6.436550215911865
4,0.57898,1.9566829027557373,0.2401,5.742189266204834
5,0.63246,1.7915721417617798,0.3002,4.425737818145752
6,0.6488600000190735,1.744699860229492,0.599,2.0641926219940188
7,0.6619999999809265,1.7044077780914306,0.5109,2.33112409362793
8,0.6751999999809265,1.6659619925689697,0.656,1.8037481155395507
9,0.682980000038147,1.6353706777572632,0.5864,2.0352119663238524
10,0.693680000038147,1.6099825498199463,0.5556,2.2106263050079344
11,0.7025,1.5756551831817627,0.6164,1.889091315841675
12,0.71518,1.5502489701080322,0.5995,2.1041705280303957
13,0.71798,1.5276397989273072,0.6083,2.056025899887085
14,0.72688,1.4973463555908204,0.5999,2.219484971809387
15,0.7323199999809266,1.4796455727767945,0.6652,1.7586139390945434
16,0.7421199999618531,1.4543961925888063,0.6635,1.694689903831482
17,0.7478,1.437306413269043,0.7002,1.6624231637954712
18,0.756519999961853,1.4061965068054199,0.7139,1.6124320302963258
19,0.7598,1.392642265663147,0.687,1.6939905929565429
20,0.761679999961853,1.3761220904159546,0.717,1.5732762563705445
21,0.769119999961853,1.3595124516677857,0.7128,1.6288430023193359
22,0.7753600000190735,1.339402356414795,0.7522,1.4462324367523194
23,0.7794599999809265,1.3257198659896852,0.7422,1.4789990657806396
24,0.7859800000190735,1.3043857471084594,0.7017,1.619439942932129
25,0.7878600000190735,1.2930711086654663,0.7605,1.405826816558838
26,0.7927000000190735,1.2733206520462037,0.7152,1.5590728952407837
27,0.79624,1.2639168812561035,0.773,1.358104207611084
28,0.7984199999809265,1.2500576238250733,0.7719,1.376832738304138
29,0.8054000000190735,1.2341215036392212,0.7443,1.459287393951416
30,0.80552,1.2237413132476807,0.726,1.5793414608001708
31,0.809080000038147,1.2113369567489625,0.7474,1.4553753065109254
32,0.8122,1.2000515055847167,0.7804,1.341010055923462
33,0.818419999961853,1.1844561672592162,0.7736,1.355353959083557
34,0.819539999961853,1.1723136735534667,0.7675,1.3517220804214478
35,0.818559999961853,1.169695828742981,0.7841,1.3204587791442872
36,0.82314,1.1563861052703857,0.723,1.5499784074783325
37,0.82416,1.1455112156295777,0.746,1.468500358390808
38,0.82622,1.1350274167633057,0.7744,1.3788177379608155
39,0.833079999961853,1.1194807747459412,0.7685,1.3842509841918946
40,0.8329199999809265,1.117179573173523,0.7505,1.4230052598953247
41,0.834779999961853,1.1047501988601685,0.7943,1.292385083770752
42,0.8383600000190735,1.0944845708465576,0.7593,1.4339789916992187
43,0.842900000038147,1.0815606323242188,0.7836,1.3428777803421021
44,0.843120000038147,1.0771336492156982,0.8193,1.179851194190979
45,0.843220000038147,1.0684619149398804,0.7865,1.2852004365921021
46,0.846059999961853,1.0579610814476013,0.793,1.2578922407150268
47,0.84876,1.0498330668640137,0.7997,1.2479676570892333
48,0.8512000000190735,1.0388263930130004,0.8076,1.2320923442840577
49,0.85372,1.030554838142395,0.7936,1.2760180061340332
50,0.858079999961853,1.011149924736023,0.8283,1.1350521671295166
51,0.861320000038147,1.0025194912719726,0.8027,1.2369554145812989
52,0.863599999961853,0.9886171880722046,0.8087,1.20596036529541
53,0.86748,0.9802479660987854,0.8187,1.1713283674240111
54,0.8657199999809265,0.9795901525497437,0.8241,1.1392873775482177
55,0.8684999999809265,0.9721484018707275,0.8377,1.106791043281555
56,0.867860000038147,0.9672271009826661,0.8253,1.1581069396972656
57,0.871579999961853,0.9577539932441711,0.8243,1.1175144763946534
58,0.8722799999809265,0.9549474613571167,0.8019,1.191877678012848
59,0.8719400000190735,0.9525625828170776,0.8486,1.0321481792449951
60,0.8742000000190735,0.9433829446220398,0.8272,1.1323810483932495
61,0.8741199999618531,0.9408328039360047,0.7851,1.3060396617889405
62,0.87448,0.93222207736969,0.8223,1.1348768947601318
63,0.8783400000381469,0.9242881921195983,0.8399,1.0930116329193116
64,0.8781399999809265,0.9207771922302246,0.8469,1.0632089281082153
65,0.8797800000381469,0.9163051978683472,0.8202,1.144815821647644
66,0.87838,0.9123842693519593,0.8213,1.1394055355072021
67,0.882199999961853,0.9045224347305297,0.8164,1.1976532579421997
68,0.8837999999809265,0.898277833442688,0.8474,1.0435345666885376
69,0.883939999961853,0.8939350503349304,0.8215,1.1514781398773193
70,0.883739999961853,0.8925870019912719,0.8244,1.1159949663162232
71,0.8840400000190735,0.8867965682601928,0.8431,1.0497120613098145
72,0.88564,0.8810586846160888,0.8448,1.0531705234527589
73,0.8873599999809265,0.874503869972229,0.8029,1.2037729213714599
74,0.88952,0.8671302680969238,0.8166,1.1648941324234008
75,0.887680000038147,0.8653137092590332,0.8003,1.2258177137374877
76,0.8893600000190734,0.8620314095306396,0.8354,1.0700147932052613
77,0.8884799999809265,0.8623589120483398,0.8186,1.1537045921325684
78,0.892359999961853,0.8499253542709351,0.8291,1.0934358087539673
79,0.8907,0.8482971115493775,0.8294,1.123373324394226
80,0.893339999961853,0.8428468528366089,0.8226,1.1152478248596192
81,0.8958799999809265,0.8332657531738281,0.8366,1.101752310180664
82,0.8941600000190735,0.8353615003013611,0.8405,1.0606654331207275
83,0.8940599999809266,0.830872832584381,0.82,1.1318843346595764
84,0.8965200000190735,0.8253388672637939,0.8387,1.0904881717681885
85,0.8987399999809265,0.8207030879974365,0.8161,1.1657947929382324
86,0.898160000038147,0.8161129382896424,0.8431,1.0384344891548156
